Matrice,M,N,NZ,Densità,Thread,Tempo Medio (s),FLOPs,GFLOPS
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,1,0.150249,254412288,1.693722
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,1,0.000470,861480,1.840403
ML_Laplace.mtx,377002,377002,27689972,0.06982063,1,0.054081,55379944,1.031549
PR02R.mtx,161070,161070,8185136,0.04711110,1,0.009644,16370272,1.697480
adder_dcop_32.mtx,1813,1813,11246,0.00342139,1,0.000034,22492,0.652966
af23560.mtx,23560,23560,484256,0.00087242,1,0.000643,968512,1.508961
af_1_k101.mtx,503625,503625,17550675,0.07466143,1,0.025659,35101350,1.422891
amazon0302.mtx,262111,262111,1234877,-0.07137846,1,0.003923,2469754,0.629615
bcsstk17.mtx,10974,10974,428650,0.00355937,1,0.000479,857300,1.790367
cage4.mtx,9,9,49,0.60493827,1,0.000000,98,0.336390
cant.mtx,62451,62451,4007383,-0.01014939,1,0.004833,8014766,1.658516
cavity10.mtx,2597,2597,76367,0.01132301,1,0.000087,152734,1.755416
cop20k_A.mtx,121192,121192,2624331,0.00145586,1,0.004753,5248662,1.104381
dc1.mtx,116835,116835,766396,0.00100115,1,0.001171,1532792,1.310724
lung2.mtx,109460,109460,492564,-0.00054523,1,0.000715,985128,1.379468
mac_econ_fwd500.mtx,206500,206500,1273389,-0.00414214,1,0.001877,2546778,1.356760
mcfe.mtx,765,765,24382,0.04166261,1,0.000028,48764,1.723960
mhd4800a.mtx,4800,4800,102252,0.00443802,1,0.000114,204504,1.794690
mhda416.mtx,416,416,8562,0.04947531,1,0.000010,17124,1.636576
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,1,0.033689,57409344,1.706136
olafu.mtx,16146,16146,1015156,0.00389406,1,0.001264,2030312,1.606674
olm1000.mtx,1000,1000,3996,0.00399600,1,0.000004,7992,1.781410
raefsky2.mtx,3242,3242,294276,0.02799812,1,0.000331,588552,1.781352
rdist2.mtx,3198,3198,56934,0.00556692,1,0.000059,113868,1.932767
roadNet-PA.mtx,1090920,1090920,3083796,0.00769976,1,0.011963,6167592,0.515568
thermal1.mtx,82654,82654,574458,-0.00032672,1,0.001082,1148916,1.064714
thermal2.mtx,1228045,1228045,8580313,0.01529464,1,0.023023,17160626,0.745362
thermomech_TK.mtx,102158,102158,711558,0.00038539,1,0.001368,1423116,1.042290
webbase-1M.mtx,1000005,1000005,3105536,-0.00432900,1,0.007418,6211072,0.837304
west2021.mtx,2021,2021,7353,0.00180025,1,0.000009,14706,1.569894
